year,title,type,wiki_id,tvt_id,trope_count
1944,Meet Me in St. Louis,film,74942,395016,23
1944,Mr Skeffington,film,181329,395018,12
1944,Laura,film,74871,406952,18
1944,Lifeboat,film,264869,452601,22
1944,The Princess and the Pirate,film,15026605,469564,14
1944,Wilson,film,773973,474956,23
1944,Ministry of Fear,film,2522946,498560,16
1945,House of Dracula,film,3303351,297516,13
1945,Dead of Night,film,1129299,325163,17
1945,Anchors Aweigh,film,79700,340448,9
1945,The Picture of Dorian Gray,film,8854150,360706,136
1945,The Body Snatcher,film,3263044,377927,16
1945,Brief Encounter,film,70508,395019,16
1945,The Lost Weekend,film,42294,395021,19
1945,Leave Her to Heaven,film,181353,431622,15
1945,Scarlet Street,film,146908,454538,16
1945,Christmas in Connecticut,film,7590753,486833,18
1946,Beauty and the Beast,film,1226363,15214,15
1946,The Big Sleep,film,1645598,288132,49
1946,She-Wolf of London,film,5023581,294426,14
1946,It's a Wonderful Life,film,60164,311422,175
1946,Great Expectations,film,2257358,362986,90
1946,A Matter of Life and Death,film,553272,380654,34
1946,Notorious,film,255198,391121,41
1946,The Best Years of Our Lives,film,42159,394906,25
1946,The Blue Dahlia,film,208814,395022,14
1946,Gilda,film,1673949,395023,4
1946,Swing Parade of 1946,film,3013030,395024,7
1946,My Darling Clementine,film,74978,428015,32
1946,The Stranger,film,1634305,481295,19
1946,The Killers,film,1774116,487517,5
1947,Nightmare Alley,film,2006189,59565,16
1947,Sinbad the Sailor,film,4495195,275860,39
1947,Gentleman's Agreement,film,42093,315268,10
1947,Dead Reckoning,film,1918678,323258,10
1947,Dark Passage,film,1668866,372467,16
1947,Black Narcissus,film,46757,386084,32
1947,The Ghost and Mrs. Muir,film,2297089,395027,31
1947,The Lady from Shanghai,film,1919203,395030,16
1947,Monsieur Verdoux,film,545615,395031,13
1947,The Bachelor and the Bobby-Soxer,film,3518352,427676,16
1947,The Wistful Widow of Wagon Gap,film,8119369,442899,14
1947,Out of the Past,film,75266,447381,27
1948,Abbott and Costello Meet Frankenstein,film,68082,297517,23
1948,Hamlet,film,80530,317910,52
1948,That Lady in Ermine,film,22178122,320231,11
1948,The Treasure of the Sierra Madre,film,11088642,341870,52
1948,Portrait of Jennie,film,1478417,342567,19
1948,Unknown Island,film,28387767,343354,5
1948,Unfaithfully Yours,film,3654363,360442,19
1948,Oliver Twist,film,626916,361998,87
1948,Fort Apache,film,3466113,374621,45
1948,Jungle Goddess,film,38130806,374622,15
1948,Key Largo,film,1397142,374624,13
1948,Last of the Wild Horses,film,23700104,374625,9
1948,Red River,film,76297,374626,20
1948,A Song Is Born,film,10485963,390786,34
1948,The Snake Pit,film,80538,455159,14
1948,The Search,film,149815,484369,16
1948,Johnny Belinda,film,80533,499720,16
1949,Stray Dog,film,867905,225771,11
1949,Under Capricorn,film,1584981,229792,30
1949,I Was a Male War Bride,film,5570152,325680,6
1949,White Heat,film,11445373,351894,52
1949,Mighty Joe Young,film,1621292,365330,24
1949,Bicycle Thieves,film,642744,374619,14
1949,The Passionate Friends,film,5565318,382171,20
1949,She Wore a Yellow Ribbon,film,3466023,382510,16
1949,A Letter to Three Wives,film,80923,393212,16
1949,Kind Hearts and Coronets,film,350908,395047,57
1949,Passport to Pimlico,film,254991,395049,5
1949,The Secret Garden,film,13911693,407884,60
1949,On the Town,film,12816415,447084,10
1949,Love Happy,film,1246956,473126,13
1949,Battleground,film,80916,497778,20
1950,D.O.A.,film,238846,57165,14
1950,Stage Fright,film,295973,229603,7
1950,In a Lonely Place,film,812818,322527,22
1950,Winchester 73,film,1024760,359907,15
1950,The Asphalt Jungle,film,894179,361614,26
1950,So Young So Bad,film,20475120,363785,33
1950,Rashomon,film,187603,378904,52
1950,All About Eve,film,41881,383616,88
1950,Destination Moon,film,879000,383624,23
1950,The Gunfighter,film,3145948,383626,13
1950,Rocketship X-M,film,877034,383628,18
1950,Los Olvidados,film,3649527,383711,14
1950,A Date With Your Family,film,5469151,388155,6
1950,Sunset Boulevard,film,76368,409096,73
1950,Night and the City,film,1934977,471939,35
1951,Strangers on a Train,film,261107,219805,37
1951,When Worlds Collide,film,5859950,264657,30
1951,The Thing from Another World,film,76387,330991,35
1951,The Day the Earth Stood Still (1951),film,73422,364802,39
1951,Ace in the Hole,film,1638112,380818,19
1951, Scrooge (1951),film,1173803,381982,23
1951,The Painted Hills,film,15478024,383612,12
1951,The African Queen,film,68079,383705,22
1951,An American in Paris,film,1587300,383706,39
1951,Racket Girls,film,26016562,383712,27
1951,The Man in the White Suit,film,1029262,424661,7
1951,The Lavender Hill Mob,film,156632,454081,10
1952,Singin' in the Rain,film,1883157,285600,126
1952,Scaramouche,film,4918808,342626,41
1952,Ikiru,film,714228,346810,23
1952,High Noon,film,74011,355343,51
1952,The Quiet Man,film,70428,382508,51
